City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Manaure,11.7751,-72.4445,79.81,79,97,12.48,CO,overcast clouds,2021-11-22 02:52:36
60,Mahebourg,-20.4081,57.7,73.69,88,75,3.44,MU,broken clouds,2021-11-22 02:52:37
61,Oistins,13.0667,-59.5333,78.89,78,40,12.66,BB,scattered clouds,2021-11-22 02:52:37
62,Albany,42.6001,-73.9662,48.81,72,100,3.0,US,overcast clouds,2021-11-22 02:47:56
63,Tuktoyaktuk,69.4541,-133.0374,-11.2,84,1,4.61,CA,clear sky,2021-11-22 02:52:38
64,Banda Aceh,5.5577,95.3222,83.52,68,73,1.81,ID,broken clouds,2021-11-22 02:52:38
65,Kamaishi,39.2667,141.8833,47.35,96,100,22.3,JP,moderate rain,2021-11-22 02:52:39
66,Jamestown,42.097,-79.2353,42.39,98,90,11.99,US,overcast clouds,2021-11-22 02:50:51
67,Thompson,55.7435,-97.8558,-3.84,84,1,6.91,CA,clear sky,2021-11-22 02:52:39
68,Hithadhoo,-0.6,73.0833,80.42,80,90,8.55,MV,overcast clouds,2021-11-22 02:52:40
69,Bredasdorp,-34.5322,20.0403,63.28,88,100,16.11,ZA,light rain,2021-11-22 02:52:40
70,Lakatoro,-16.0999,167.4164,84.0,69,84,9.31,VU,broken clouds,2021-11-22 02:52:40
71,Ribeira Brava,32.65,-17.0667,69.01,83,12,6.96,PT,few clouds,2021-11-22 02:52:41
72,Karratha,-20.7377,116.8463,82.42,53,100,7.2,AU,overcast clouds,2021-11-22 02:52:41
73,Skegness,53.1436,0.3363,47.57,64,7,18.01,GB,clear sky,2021-11-22 02:52:42
74,Provideniya,64.3833,-173.3,5.11,61,0,8.95,RU,clear sky,2021-11-22 02:52:42
75,Puerto Ayora,-0.7393,-90.3518,69.55,82,74,7.0,EC,broken clouds,2021-11-22 02:52:30
76,Coahuayana,18.7333,-103.6833,75.34,86,0,3.87,MX,clear sky,2021-11-22 02:52:43
77,Saskylakh,71.9167,114.0833,-23.76,97,56,7.63,RU,broken clouds,2021-11-22 02:52:43
